station id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09206401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05161400,85,68,65,62,43,50,14,38,32,43,34,42,26,29,26,52,,,,,,,,,,,,,,,,,,
73257400,15,0,4,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
05072400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64330400,,,,,,,,,,,,,,,,,,,,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
66188401,,,,,,,,,,,,,,,,,,,,,,,0,54,16,25,,31,71,53,91,5,42,
26142001,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,
74056403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05181002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
74085400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007402,105,,,,,,132,,,,,,,,,20,27,4,,0,0,,0,0,0,0,0,155,0,0,0,0,57,0
04062400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38527401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09135400,,,,,,,,,,,,,,,5,6,7,38,38,40,17,,,52,1,33,24,23,36,61,,30,37,22
64336400,51,2,,,,99,,,0,2,0,,22,0,,2,16,,,,,,,,,,,,,,,,,
73322401,,,,,,,,,,,,,,17,8,27,3,19,26,15,19,0,23,24,12,0,20,22,4,24,21,41,37,32
73023001,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,80,84,115,,,
203000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74033400,,,,,,,,,,,,,,,,,32,21,47,38,47,17,38,35,38,11,47,66,27,25,47,14,44,42
73318401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
