station id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09206401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05161400,69,68,60,50,55,63,66,74,90,83,39,43,50,80,66,74,,,,,,,,,,,,,,,,,,
73257400,36,26,0,25,0,48,32,57,34,0,30,7,32,41,16,0,29,29,0,0,10,19,27,21,2,15,4,7,24,0,0,0,25,11
05072400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64330400,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66188401,,,,,,,,,,,,,,,,,,,,,,,0,8,0,0,0,3,43,40,35,69,41,
26142001,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
74056403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05181002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
74085400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007402,0,,,,,,27,,,,,,,,59,43,24,28,,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0
04062400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38527401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09135400,,,,,,,,,,,,,,,44,41,44,45,30,49,46,84,,33,21,61,9,35,37,30,,47,50,54
64336400,6,52,1,41,,52,,,22,23,0,16,,31,69,0,61,,,,,,,,,,,,,,,,,
73322401,,,,,,,,,,,,,,66,36,56,55,50,58,43,21,13,37,42,22,36,19,43,44,46,12,15,27,0
73023001,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,
203000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74033400,,,,,,,,,,,,,,,,,61,62,62,34,24,2,1,35,28,35,24,43,45,0,45,67,49,17
