station id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09206401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05161400,58,45,57,11,37,59,38,61,82,80,32,36,48,1,35,53,,,,,,,,,,,,,,,,,,
73257400,0,0,0,0,0,26,0,32,12,0,0,3,0,1,0,0,0,0,0,0,0,0,3,12,0,0,0,2,18,0,0,0,2,0
05072400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64330400,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66188401,,,,,,,,,,,,,,,,,,,,,,,,27,0,,,0,41,2,,47,14,
26142001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74056403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05181002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0
74085400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007402,0,,,,,,,,,,,,,,55,7,,1,,0,0,,0,0,0,0,,28,0,0,,0,0,
04062400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38527401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09135400,,,,,,,,,,,,,,,,,41,0,8,29,35,,,0,7,,0,0,34,8,,24,0,3
64336400,0,28,,41,,38,,,20,10,,,,0,66,,,,,,,,,,,,,,,,,,,
73322401,,,,,,,,,,,,,,0,9,42,5,32,51,25,11,2,18,25,9,23,15,26,35,0,0,0,1,0
73023001,0,,0,,,,0,,0,0,,0,,0,0,,,,,0,0,,0,0,0,,0,0,69,70,,,,
203000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74033400,,,,,,,,,,,,,,,,,41,0,26,5,15,0,23,31,22,0,20,20,33,0,0,0,29,6
73318401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66206002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05096003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
74056419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,55,36
20023400,4,2,,,,0,,,,,,,,,,,,,,,,,,,65,11,,70,,,,,,
203000407,,,,,,,,,0,0,137,,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,0,0,
38253400,0,1,33,23,0,37,52,13,75,45,21,23,31,45,32,46,0,25,45,1,0,19,14,36,36,37,38,26,24,38,14,32,22,36
20007401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73132003,,,,,,,,,,2,35,16,2,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0
73296401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73194005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
73034401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04096401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04019401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65388001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31123005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,0,0
73280001,,,,,,,76,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
26290401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99130409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74032401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05023403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007400,4,1,,,,,,,0,,,,,8,,,,4,24,2,23,,0,12,2,,,2,1,0,,,2,
73306401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31042012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66095001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05114402,,,,,,,,,,,,,,,,,,,,,,,,40,0,26,6,17,0,0,0,,17,7
73257001,0,0,0,,,0,,,0,0,,0,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,0
99130401,0,0,0,2,0,8,1,0,0,0,10,23,0,0,0,0,18,20,9,0,0,0,0,32,2,0,2,2,2,2,0,0,2,0
05139405,,,,,,,,,,,,,,,,,0,0,0,20,18,0,22,24,0,24,6,24,5,0,0,0,19,33
74173401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38472002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
09070401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73123402,,,,,,,,,,,,,,,,,,,,,,,,,0,,,46,10,0,9,10,24,20
74014401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65017002,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,
05119403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05096400,0,0,0,,,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
204012911,,,,,,,,,,,,,,,,,,,,,,,,,,,171,0,0,0,,0,0,
74136400,0,0,0,0,,9,4,,0,0,,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05064403,,,,,,,,,,,,,,,237,,,,0,0,0,,0,0,0,,0,0,0,0,,,0,
74080002,,,,,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0
05139400,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
38285001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20124400,4,,2,0,,2,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
38548402,,,,,,0,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,
73015401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06120002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73054402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31042001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
