station id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09206401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05161400,69,68,60,38,55,63,66,74,90,83,39,43,50,78,50,74,,,,,,,,,,,,,,,,,,
73257400,36,26,0,25,0,47,32,56,34,0,30,7,32,41,16,0,29,29,0,0,10,19,27,16,2,15,3,7,24,0,0,0,25,11
05072400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64330400,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66188401,,,,,,,,,,,,,,,,,,,,,,,0,8,0,0,2,2,43,40,33,69,39,
26142001,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
74056403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05181002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0
74085400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007402,0,,,,,,27,,,,,,,,58,42,24,18,,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0
04062400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38527401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09135400,,,,,,,,,,,,,,,43,41,44,45,29,49,46,76,,22,21,61,9,35,37,30,,47,50,37
64336400,4,52,0,41,,52,,,22,23,0,16,,31,68,0,0,,,,,,,,,,,,,,,,,
73322401,,,,,,,,,,,,,,61,36,56,51,50,58,36,21,13,37,42,22,36,18,43,44,46,12,15,27,0
73023001,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,
203000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74033400,,,,,,,,,,,,,,,,,61,62,62,33,24,2,1,32,24,35,21,43,45,0,45,67,49,17
73318401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66206002,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
05096003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
74056419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,73,62,64
20023400,6,7,2,,,1,2,,,,,,,,,,,,,,,,,,66,48,,73,45,,,,22,
203000407,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
38253400,47,55,48,35,39,39,59,26,83,48,24,29,33,75,50,67,47,30,45,50,28,22,21,37,48,38,48,40,29,39,14,55,29,37
20007401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73132003,,,,,,,,,,14,76,17,2,,,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0
73296401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73194005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
73034401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04096401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04019401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65388001,,,,,,,,,,,,,,,,,,2,,,0,,,36,,,,12,,,,,,
203000446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31123005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0,0
73280001,,,,,,,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26290401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99130409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74032401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05023403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007400,6,2,,,,24,,,4,16,,7,8,37,,,71,5,46,11,40,2,2,18,2,0,0,3,2,0,2,4,3,
73306401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31042012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66095001,27,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
05114402,,,,,,,,,,,,,,,,,,,,,,,,46,23,36,10,28,34,0,0,0,19,31
73257001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
99130401,2,24,23,10,0,25,23,28,2,0,17,24,0,10,21,0,23,20,41,30,23,12,5,33,3,18,2,6,2,3,3,3,7,2
05139405,,,,,,,,,,,,,,,,,43,40,6,23,25,0,32,41,23,34,17,25,45,0,0,0,44,35
74173401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38472002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
09070401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73123402,,,,,,,,,,,,,,,,,,,,,,,,,23,,,52,46,22,52,72,49,50
74014401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65017002,,,,,,,,,,,,,,,,,2,2,0,0,0,,,2,0,,,2,0,2,,,2,
05119403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05096400,43,26,0,23,0,39,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
204012911,,,,,,,,,,,,,,,,,,,,,,,,,,,179,0,0,0,0,2,0,0
74136400,35,3,0,23,1,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05064403,,,,,,,,,,,,,,,258,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
74080002,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05139400,1,1,0,,,9,,,0,0,,0,,0,0,,,0,0,0,0,,0,2,0,,,0,0,0,,,0,
38285001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,
20124400,6,2,0,38,,11,2,3,17,2,,,,,,,,,,,,,,,,,,,,,,,,
38548402,0,0,0,0,,3,0,,0,0,,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,
73015401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06120002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73054402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31042001,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
38020400,96,31,0,33,9,31,38,40,37,0,0,31,36,38,28,0,0,0,1,21,24,0,31,31,21,34,14,26,33,0,0,0,46,35
05077402,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64316001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38005400,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66188400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64040400,1,26,3,19,2,34,60,11,1,2,0,25,,0,39,0,37,0,0,41,0,0,11,14,0,0,1,16,19,14,0,0,0,6
64316400,0,1,0,,,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
05096402,,,,,,,,58,31,53,24,46,49,0,44,49,0,28,58,28,24,18,27,42,51,53,15,41,1,0,0,0,41,27
65188401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38366001,0,0,,,,0,,,,,,,,0,0,,,,,0,,,,0,0,,0,0,0,0,,,,
74056409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38191408,,,,,,59,52,58,69,59,38,44,39,35,33,43,47,36,43,0,53,26,35,44,57,59,48,60,42,45,25,39,67,59
04096001,,,,,,,,,0,,0,0,,31,,,,,,,,,,,,,,,,,,,,
09032402,,,,,,,,,,,0,21,43,20,53,1,31,14,16,17,15,0,2,27,16,0,1,13,20,12,27,1,38,29
66082004,,,,,,,,,,,,,,,,,,,,189,0,,,0,0,,,0,0,3,,0,0,0
74063404,,,,,,,,,,,,,,,,,,,71,40,16,27,40,14,28,29,12,28,40,,,,,
38020001,,2,,,,0,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,
20108002,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
65199400,,,,,,,,,,,,,,,,,,,0,2,11,0,0,38,0,0,0,0,5,0,,,,
65283001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
38375402,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73304400,36,26,33,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66183001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38191405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73144400,35,1,,26,,33,41,37,20,0,0,35,20,38,33,0,0,0,0,26,24,,,,,,,,,,,,,
65059401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06077001,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
203000465,,,,,,,,,,1,21,1,,0,2,0,4,0,8,0,0,,0,0,0,0,,0,0,0,0,0,,
73071400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38021001,0,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,,,0,
65017401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74191404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38020401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04226001,,,,,,,,,,,,,,,,,,,,,185,70,122,0,,,1,3,0,76,,,0,
38186001,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,70,,0,0,0,,0,0,0,0,0,0,0,0
06073401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64320406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04205400,,,,99,51,35,68,36,41,106,,,,,,,,,,,,,,,,,,,,,,,,
74056416,,,,,,,,,,99,58,45,42,44,36,43,45,29,50,23,9,18,15,33,31,44,0,39,44,46,31,5,34,27
66124400,0,8,0,18,,20,29,8,0,6,0,28,7,27,,0,29,36,,,,,,,,,,,,,,,,
06127400,,,,,,,,,,,,,,,,,,,,,,,0,21,0,34,1,28,38,0,,,,
74191401,,82,52,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73024400,44,35,7,32,13,29,20,37,32,1,0,30,40,38,29,37,47,0,0,29,24,0,39,29,21,31,3,23,41,0,0,0,18,0
31085401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65388400,47,31,59,34,44,28,1,35,15,4,0,0,74,,,,,,,,,,,,,,,,,,,,,
73235401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74191400,1,0,0,0,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73047402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65017404,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
38548400,17,33,0,34,0,26,49,20,33,9,46,37,42,46,,,0,0,4,34,24,4,24,33,21,28,17,21,37,26,25,4,44,34
73157002,,,,,,,,,,,,,152,0,,,,,,,,,0,11,0,251,210,159,,,,,,
